pos,bezeichnung,unterhalt,code,longitude,latitude,photo_url
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5597814168,48.1178396817,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5526373816,48.1076635542,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.587322473,48.133450005,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5864940357,48.1319576484,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5898314101,48.1341276722,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5937541806,48.1354200289,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.58949091,48.1319271649,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5452087817,48.0825716423,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5710363708,48.1249543612,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.582457609,48.1307542786,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5731568162,48.1260088238,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.57536779,48.127178983,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5689419538,48.1237828446,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5668400473,48.1226481828,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5649088809,48.121602809,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
